blockTradeId,closedSize,createType,execFee,execFeeV2,execId,execPrice,execQty,execTime,execType,execValue,extraFees,feeCurrency,feeRate,indexPrice,isMaker,leavesQty,markIv,markPrice,marketUnit,orderId,orderLinkId,orderPrice,orderQty,orderType,seq,side,stopOrderType,symbol,tradeIv,underlyingPrice
,0,,0.00094858,-0.00094858,3c43481f-7ebc-415b-883a-d9f702d05d1f,2.206,17.2,1764252000000,Funding,37.9432,,USDT,0.000025,,False,0,,2.206,,f87565b5-8b28-4166-8f16-8fb46e8034b1,,0,0,UNKNOWN,226415014159,Buy,UNKNOWN,GASUSDT,,
,0,,-0.00183664,0.00183664,160b2b16-8444-493e-99fb-6622473778e3,0.09323,394,1764244800000,Funding,36.73262,,USDT,-0.00005,,False,0,,0.09323,,85a0a55c-7702-494a-ad77-7aa43fb9ae92,,0,0,UNKNOWN,337485688701,Sell,UNKNOWN,POWRUSDT,,
,0,,0.00095546,-0.00095546,61fad5b6-71ac-4f91-8094-784474410c00,2.222,17.2,1764244800000,Funding,38.2184,,USDT,0.000025,,False,0,,2.222,,1ed74803-c948-419e-b5ba-6e423d3fc468,,0,0,UNKNOWN,226408484518,Buy,UNKNOWN,GASUSDT,,
,0,,0.00095202,-0.00095202,f7488ae7-35f4-417b-a548-b974c72fc10b,2.214,17.2,1764237600000,Funding,38.0808,,USDT,0.000025,,False,0,,2.214,,98978417-83a6-4e23-ad5b-1d16abd3acc8,,0,0,UNKNOWN,226403078217,Buy,UNKNOWN,GASUSDT,,
,0,CreateByUser,0.0128316,-0.0128316,f454a7a9-c538-50e9-81e9-cee8891a6d7f,0.09305,394,1764237380829,Trade,36.6617,,USDT,0.00035,,False,0,,0.09319,,601f50a7-21c5-4ffa-8fd6-fea94ca4694d,,0.07922,394,Market,337467875883,Sell,UNKNOWN,POWRUSDT,,
,0,CreateByUser,0.01332828,-0.01332828,ef8d9f8f-9932-5711-bf82-fe5d2b414ae8,2.214,17.2,1764237380655,Trade,38.0808,,USDT,0.00035,,False,0,,2.214,,3d943220-fee3-41bc-819a-d6e7b0ee4d9d,,2.546,17.2,Market,226402948400,Buy,UNKNOWN,GASUSDT,,
,11,CreateByUser,0.00035447,-0.00035447,92d4ed37-a185-5f6d-a751-e4d08c9886a1,0.09207,11,1764224148156,Trade,1.01277,,USDT,0.00035,,False,0,,0.09198,,7e900a7d-6538-4a21-9d5b-b01b62d143a5,,0.10577,396,Market,337440623723,Buy,UNKNOWN,POWRUSDT,,
,385,CreateByUser,0.01240509,-0.01240509,869c044f-1199-55b0-aad8-6ccb68d6221d,0.09206,385,1764224148156,Trade,35.4431,,USDT,0.00035,,False,11,,0.09198,,7e900a7d-6538-4a21-9d5b-b01b62d143a5,,0.10577,396,Market,337440623723,Buy,UNKNOWN,POWRUSDT,,
,17.9,CreateByUser,0.01378927,-0.01378927,ea2b1d82-96b2-58ba-81b9-1ab4b6e6c293,2.201,17.9,1764224147982,Trade,39.3979,,USDT,0.00035,,False,0,,2.201,,5851b682-3b61-4437-8e11-a508d638f91f,,1.871,17.9,Market,226392656092,Sell,UNKNOWN,GASUSDT,,
,0,,0.00098316,-0.00098316,20e1c241-547d-43ba-9aa5-836ed8e4d249,2.197,17.9,1764223200000,Funding,39.3263,,USDT,0.000025,,False,0,,2.197,,243ec44f-a3cc-41ca-b9ab-7bec649c91b0,,0,0,UNKNOWN,226392016713,Buy,UNKNOWN,GASUSDT,,
